Serial_number:   
2004212   
Project ID:   
L2004212   
Location:   
Lyell_Fk_abv_Twin_Br_Stilling_Tu
LEVEL   
UNIT: cm   
Offset: 0.000000 cm   
TEMPERATURE   
UNIT: °C   
Date,Time,ms,LEVEL (cm),TEMPERATURE 
8/1/2018,6:00:00 PM,0,816.14,11.196 
8/1/2018,6:30:00 PM,0,815.88,11.364 
8/1/2018,7:00:00 PM,0,815.48,11.539 
8/1/2018,7:30:00 PM,0,814.91,11.72 
8/1/2018,8:00:00 PM,0,814.57,11.922 
8/1/2018,8:30:00 PM,0,814.29,12.113 
8/1/2018,9:00:00 PM,0,813.96,12.284 
8/1/2018,9:30:00 PM,0,813.32,12.409 
8/1/2018,10:00:00 PM,0,813.23,12.518 
8/1/2018,10:30:00 PM,0,812.78,12.587 
8/1/2018,11:00:00 PM,0,812.34,12.668 
8/1/2018,11:30:00 PM,0,811.93,12.719 
8/2/2018,12:00:00 AM,0,811.62,12.76 
8/2/2018,12:30:00 AM,0,811.38,12.801 
8/2/2018,1:00:00 AM,0,811.21,12.835 
8/2/2018,1:30:00 AM,0,811.07,12.877 
8/2/2018,2:00:00 AM,0,810.88,12.892 
8/2/2018,2:30:00 AM,0,810.85,12.901 
8/2/2018,3:00:00 AM,0,811.08,12.915 
8/2/2018,3:30:00 AM,0,811.65,12.916 
8/2/2018,4:00:00 AM,0,812.67,12.921 
8/2/2018,4:30:00 AM,0,813.68,12.932 
8/2/2018,5:00:00 AM,0,814.31,12.931 
8/2/2018,5:30:00 AM,0,814.46,12.932 
8/2/2018,6:00:00 AM,0,814.34,12.92 
8/2/2018,6:30:00 AM,0,813.98,12.903 
8/2/2018,7:00:00 AM,0,813.71,12.882 
8/2/2018,7:30:00 AM,0,813.35,12.848 
8/2/2018,8:00:00 AM,0,812.91,12.748 
8/2/2018,8:30:00 AM,0,812.54,12.621 
8/2/2018,9:00:00 AM,0,812.06,12.502 
8/2/2018,9:30:00 AM,0,811.83,12.4 
8/2/2018,10:00:00 AM,0,811.57,12.319 
8/2/2018,10:30:00 AM,0,811.18,12.248 
8/2/2018,11:00:00 AM,0,810.85,12.194 
8/2/2018,11:30:00 AM,0,810.78,12.128 
8/2/2018,12:00:00 PM,0,810.59,12.053 
8/2/2018,12:30:00 PM,0,810.49,11.962 
8/2/2018,1:00:00 PM,0,810.43,11.87 
8/2/2018,1:30:00 PM,0,810.31,11.796 
8/2/2018,2:00:00 PM,0,810.29,11.714 
8/2/2018,2:30:00 PM,0,810.26,11.645 
8/2/2018,3:00:00 PM,0,810.06,11.613 
8/2/2018,3:30:00 PM,0,810.06,11.592 
8/2/2018,4:00:00 PM,0,809.9,11.608 
8/2/2018,4:30:00 PM,0,809.71,11.648 
8/2/2018,5:00:00 PM,0,809.51,11.713 
8/2/2018,5:30:00 PM,0,809.51,11.79 
8/2/2018,6:00:00 PM,0,809.34,11.874 
8/2/2018,6:30:00 PM,0,809.26,11.963 
8/2/2018,7:00:00 PM,0,809.19,12.059 
8/2/2018,7:30:00 PM,0,808.95,12.186 
8/2/2018,8:00:00 PM,0,808.66,12.322 
8/2/2018,8:30:00 PM,0,808.74,12.464 
8/2/2018,9:00:00 PM,0,808.65,12.606 
8/2/2018,9:30:00 PM,0,808.44,12.726 
8/2/2018,10:00:00 PM,0,808.21,12.847 
8/2/2018,10:30:00 PM,0,807.93,12.948 
8/2/2018,11:00:00 PM,0,807.8,13.033 
8/2/2018,11:30:00 PM,0,807.5,13.079 
8/3/2018,12:00:00 AM,0,807.23,13.15 
8/3/2018,12:30:00 AM,0,806.92,13.204 
8/3/2018,1:00:00 AM,0,806.82,13.24 
8/3/2018,1:30:00 AM,0,806.45,13.261 
8/3/2018,2:00:00 AM,0,806.26,13.267 
8/3/2018,2:30:00 AM,0,806.14,13.247 
8/3/2018,3:00:00 AM,0,806.22,13.223 
8/3/2018,3:30:00 AM,0,806.39,13.193 
8/3/2018,4:00:00 AM,0,806.52,13.176 
8/3/2018,4:30:00 AM,0,806.52,13.163 
8/3/2018,5:00:00 AM,0,806.54,13.149 
8/3/2018,5:30:00 AM,0,806.37,13.13 
8/3/2018,6:00:00 AM,0,806.17,13.1 
8/3/2018,6:30:00 AM,0,806.08,13.068 
8/3/2018,7:00:00 AM,0,805.98,13.044 
8/3/2018,7:30:00 AM,0,805.96,13.014 
8/3/2018,8:00:00 AM,0,805.79,12.951 
8/3/2018,8:30:00 AM,0,805.71,12.83 
8/3/2018,9:00:00 AM,0,805.83,12.682 
8/3/2018,9:30:00 AM,0,805.56,12.516 
8/3/2018,10:00:00 AM,0,805.68,12.345 
8/3/2018,10:30:00 AM,0,805.66,12.189 
8/3/2018,11:00:00 AM,0,805.66,12.025 
8/3/2018,11:30:00 AM,0,805.69,11.872 
8/3/2018,12:00:00 PM,0,805.71,11.729 
8/3/2018,12:30:00 PM,0,805.8,11.592 
8/3/2018,1:00:00 PM,0,805.99,11.461 
8/3/2018,1:30:00 PM,0,806.19,11.305 
8/3/2018,2:00:00 PM,0,806.48,11.194 
8/3/2018,2:30:00 PM,0,806.68,11.104 
8/3/2018,3:00:00 PM,0,806.75,11.055 
8/3/2018,3:30:00 PM,0,806.85,11.059 
8/3/2018,4:00:00 PM,0,806.84,11.088 
8/3/2018,4:30:00 PM,0,806.82,11.159 
8/3/2018,5:00:00 PM,0,806.87,11.243 
8/3/2018,5:30:00 PM,0,806.71,11.347 
8/3/2018,6:00:00 PM,0,806.87,11.463 
8/3/2018,6:30:00 PM,0,806.88,11.591 
8/3/2018,7:00:00 PM,0,806.85,11.728 
8/3/2018,7:30:00 PM,0,806.71,11.895 
8/3/2018,8:00:00 PM,0,806.74,12.094 
8/3/2018,8:30:00 PM,0,806.71,12.312 
8/3/2018,9:00:00 PM,0,806.52,12.523 
8/3/2018,9:30:00 PM,0,806.36,12.749 
8/3/2018,10:00:00 PM,0,806.34,12.918 
8/3/2018,10:30:00 PM,0,806.01,13.045 
